num_demande;heure_depart;coord_origin_x coord_origin_y;coord_dest_x coord_dest_y
9316;07:00:35;843653.2412 6511679.292;838358.4743 6517787.696
9317;07:00:35;838394.8643 6519750.834;838645.9528 6521048.512
9318;07:00:35;840764.1547 6514606.161;841949.0855 6513882.416
9319;07:00:36;847405.1424 6522371.882;842612.9521 6512391.827
9320;07:00:36;840603.0382 6520954.218;845424.3452 6521963.515
9321;07:00:36;848686.5822 6519991.76;844061.1205 6519838.092
9322;07:00:36;838297.0179 6519808.649;840227.0699 6520062.745
9323;07:00:36;848412.0348 6518596.906;845039.4209 6521692.632
9324;07:00:36;846227.0532 6521758.315;845069.6602 6521634.142
9325;07:00:36;847405.1424 6522371.882;845557.0872 6519947.064
9326;07:00:37;848686.5822 6519991.76;843234.1127 6519162.242
9327;07:00:37;838808.4257 6519467.086;838645.9528 6521048.512
9328;07:00:37;847938.312 6516101.313;844271.8425 6514581.23
9329;07:00:37;844511.9006 6517291.624;848030.8359 6516071.329
9330;07:00:37;838297.0179 6519808.649;843153.9489 6515763.841
9331;07:00:38;845497.8064 6518628.984;848626.1678 6519918.092
9332;07:00:38;844566.5919 6518618.386;842400.0866 6518714.059
9333;07:00:38;842538.3832 6512317.894;843296.4903 6519188.136
9334;07:00:38;845479.6027 6517756.558;848030.8359 6516071.329
9335;07:00:38;845299.8945 6519477.036;844303.8106 6522377.564
9336;07:00:39;838394.8643 6519750.834;840859.3472 6522264.049
9337;07:00:40;847405.1424 6522371.882;847216.1556 6518150.875
9338;07:00:40;838394.8643 6519750.834;842270.4096 6519354.408
9339;07:00:40;842538.3832 6512317.894;843614.0549 6511823.084
9340;07:00:41;844267.3226 6515628.501;842528.7713 6518737.362
9341;07:00:41;839376.8352 6519444.79;839375.5258 6517517.139
9342;07:00:41;837520.5794 6518364.542;840757.0095 6514681.71
9343;07:00:41;844288.9585 6514512.87;842319.6999 6520163.129
9344;07:00:41;844288.9585 6514512.87;842295.2787 6519310.353
9345;07:00:41;842050.581 6520408.824;844621.1616 6519431.378
9346;07:00:42;844315.5472 6517384.081;842864.3952 6520167.102
9347;07:00:42;837520.5794 6518364.542;840757.0095 6514681.71
9348;07:00:42;848064.32 6516844.165;845323.3405 6514978.387
9349;07:00:43;845741.7835 6519226.841;842445.0045 6519994.752
9351;07:00:44;845648.8001 6519770.047;848626.1678 6519918.092
9352;07:00:44;843250.6926 6522010.464;844400.8481 6519259.616
9353;07:00:44;845228.6597 6516693.114;841588.3231 6517969.922
9354;07:00:44;845534.1361 6519556.27;848058.5022 6516827.363
9355;07:00:44;848412.0348 6518596.906;845398.1165 6523282.866
9356;07:00:44;844919.7369 6516789.015;846791.6467 6516302.298
9357;07:00:45;848094.1605 6520634.2;848626.1678 6519918.092
9358;07:00:46;848064.32 6516844.165;845323.2141 6520123.343
