ID;DEPARTURE;ORIGIN;DESTINATION
193;00:01:45;E_545413229_T_61615192_toRef;S_82611819
194;00:01:45;E_82607284;S_826832662
195;00:01:46;E_826832663;S_82611865
196;00:01:46;E_881234027;S_82607707_T_58231974_toRef
197;00:01:47;E_01;S_543466840_T_58307472_FRef
198;00:01:47;E_762997770_T_549690255_toRef;S_82607707_T_58231974_toRef
199;00:01:47;R_82611988;S_545413229_T_61615192_FRef
200;00:01:48;E_1073571631;S_1035659569
201;00:01:48;E_82607284;S_800028683_T_704007186_FRef
202;00:01:49;E_01;S_545413229_T_61615192_FRef
203;00:01:50;E_762997770_T_549690255_toRef;S_82607798
204;00:01:50;R_82642761;R_82607882
205;00:01:51;E_545413229_T_61615192_toRef;S_826832662
206;00:01:51;E_876550037;S_762997770_T_549690255_FRef
207;00:01:52;E_01;S_82612072
208;00:01:53;E_82607284;S_800028683_T_704007186_FRef
209;00:01:53;E_82607718;S_1070389113_T_1085062159_toRef
210;00:01:53;E_876550037;S_545413229_T_61615192_FRef
211;00:01:53;R_82611995;S_545413229_T_61615192_FRef
212;00:01:54;E_1073571631;S_1070389113_T_1085062159_toRef
213;00:01:54;E_545413229_T_61615192_toRef;S_82611857_T_62946995_toRef
214;00:01:54;E_762997770_T_549690255_toRef;S_1073547799
215;00:01:55;E_545413229_T_61615192_toRef;S_762997770_T_549690255_FRef
216;00:01:55;R_82612082;S_800028683_T_704007186_FRef
217;00:01:56;E_762997770_T_549690255_toRef;S_82611819
218;00:01:56;E_82611957;S_82607700
219;00:01:56;E_82643134;S_82607707_T_58231974_toRef
220;00:01:57;E_82607284;S_826832662
221;00:01:57;E_82607718;S_01
222;00:01:58;E_82607707_T_58231974_FRef;S_82607369_T_549690291_toRef
223;00:01:58;E_876550037;S_01
224;00:01:59;E_01;S_82607720
225;00:01:59;E_545413229_T_61615192_toRef;S_82611819
226;00:01:59;E_82607284;S_82612072
227;00:02:00;E_1073571631;S_1073547799
228;00:02:00;E_82607727;S_826832662
229;00:02:00;R_82607772;S_82607798
230;00:02:00;C_82607805;S_82611857_T_62946995_toRef
