ID;DEPARTURE;ORIGIN;DESTINATION
1078;06:39:43;846775.0847 6520452.694;848051.6936 6519849.773
1080;06:39:44;843532.3783 6520006.763;844289.2839 6519339.886
1081;06:39:44;845548.4936 6521179.519;843229.4123 6520366.461
1083;06:39:45;844197.9091 6520770.014;845026.9649 6519861.956
1090;06:39:48;843129.4558 6520014.062;848257.3613 6518622.523
1100;06:39:54;844672.8952 6520729.768;843941.3852 6520566.797
1101;06:39:55;843277.21 6520546.583;844513.8326 6519503.311
1110;06:40:00;845414.4631 6519487.894;845675.5455 6521895.847
1115;06:40:03;843412.4452 6522210.029;845469.2767 6519963.514
1120;06:40:04;845698.3282 6520630.998;845848.0464 6519695.911
1125;06:40:08;845919.3324 6519575.416;845548.0859 6521808.071
1138;06:40:16;845651.6533 6519969.142;848062.3253 6518677.133
1145;06:40:19;846652.3402 6519616.218;845947.4442 6520354.771
1149;06:40:22;843521.3643 6520073.411;845452.5473 6520761.304
1160;06:40:26;846826.765 6519209.774;844765.1607 6519208.854
1162;06:40:28;846705.6858 6519596.388;844872.0057 6520780.475
1167;06:40:30;845949.6485 6521961.071;846510.9696 6520971.828
1171;06:40:36;844777.4214 6520849.133;844474.3213 6519200.033
1173;06:40:36;847560.6556 6520191.188;846633.8657 6519589.684
1174;06:40:36;846742.0341 6520644.765;846111.7681 6520620.349
1183;06:40:38;848000.3393 6518980.974;843748.7231 6520835.971
1198;06:40:46;844227.4309 6520182.834;843317.6397 6519780.692
1199;06:40:47;846173.597 6519574.803;845726.7929 6520381.74
1204;06:40:51;844799.1258 6519599.976;845796.2565 6520141.231
1213;06:40:56;845290.4069 6521048.989;848405.7553 6519933.863
1214;06:40:56;846293.9721 6521471.625;843418.1928 6519736.388
1229;06:41:07;848371.0102 6520011.78;844685.6093 6522632.049
1237;06:41:10;846827.49 6521348.817;843205.7261 6519817.713
1241;06:41:13;843645.3054 6519908.107;846705.6858 6519596.388
1242;06:41:15;845305.4207 6520768.014;843269.5999 6519658.219
1247;06:41:16;844808.9519 6521357.521;844986.349 6520725.213
1260;06:41:21;846365.9093 6519857.093;844417.9902 6519483.268
1263;06:41:22;844924.8004 6522737.67;845182.7467 6519521.286
1265;06:41:23;847215.8031 6522250.153;845724.3095 6519635.209
1284;06:41:33;844012.2754 6522712.842;844197.9478 6519479.962
1294;06:41:35;843438.1405 6520213.392;845644.5107 6519952.75
1299;06:41:36;844483.6461 6519816.927;845215.456 6523009.475
1305;06:41:40;845188.0034 6523076.03;846416.4973 6522623.14
1318;06:41:47;846831.4064 6519963.746;845403.4197 6519724.238
1323;06:41:50;846668.644 6520722.99;844828.7127 6522306.294
1324;06:41:50;844537.7363 6520952.462;845414.4631 6519487.894
1326;06:41:51;843541.4213 6519952.545;846526.091 6522622.425
1331;06:41:54;843481.8564 6519806.746;845737.8246 6521695.983
1333;06:41:54;846569.5175 6520777.621;844857.649 6519755.761
1335;06:41:54;845765.8437 6519850.584;845381.3349 6521964.65
1337;06:41:55;844689.9054 6522351.114;843550.001 6519906.08
1344;06:42:01;845363.0697 6519962.426;846561.4037 6519647.37
1348;06:42:03;844690.7108 6520078.405;844245.0542 6519631.174
1381;06:42:18;844305.4586 6520325.818;843561.6331 6519819.72
1383;06:42:18;843650.5539 6520737.111;845588.2999 6521383.538
1390;06:42:21;843237.3818 6520756.621;843770.9284 6522218.694
1413;06:42:34;844817.3398 6520698.15;845715.4189 6519649.438
1415;06:42:34;844466.3048 6520109.545;845349.395 6523142.706
1417;06:42:35;846293.9721 6521471.625;843351.6376 6521310.974
1431;06:42:44;845175.8607 6519641.715;844716.0551 6522286.247
1432;06:42:44;844872.0057 6520780.475;844421.5832 6519381.606
1451;06:42:56;843216.1303 6519766.103;846339.1696 6521694.868
1453;06:42:58;843205.7261 6519817.713;843906.675 6519918.367
1464;06:43:01;844742.3055 6520227.667;844682.3803 6519207.364
1469;06:43:06;846001.3137 6522533.263;845848.0464 6519695.911
1472;06:43:07;843108.9087 6520124.375;843769.7739 6520625.49
1475;06:43:09;847098.5196 6520658.857;844433.1069 6522261.75
1479;06:43:11;844727.509 6520666.143;847316.7888 6519390.026
1483;06:43:13;845056.2807 6521965.218;846277.4034 6521695.981
1489;06:43:16;845495.3221 6520865.007;846538.1634 6522594.202
1492;06:43:17;844408.2185 6519698.637;845310.2478 6520605.132
1496;06:43:20;844787.6795 6520669.581;845149.0715 6519760.047
1503;06:43:27;845204.6187 6519685.917;846569.1503 6520074.444
1505;06:43:28;845173.4893 6520712.966;843936.8032 6519727.402
1514;06:43:33;847414.5027 6520482.044;847316.5033 6519323.085
1523;06:43:36;847038.4243 6519533.259;844711.9687 6519210.034
1526;06:43:38;846296.8166 6519526.641;847129.1698 6519964.214
1527;06:43:38;844680.8694 6521486.794;845336.4144 6519708.133
1535;06:43:40;847690.8987 6520225.909;847417.5275 6519708.98
1540;06:43:42;846483.7889 6519971.978;846607.8571 6520729.313
1543;06:43:43;845107.1272 6521258.514;847222.1432 6520139.733
1549;06:43:45;846017.7294 6519426.685;843520.4183 6520717.403
1552;06:43:46;843855.3436 6522247.061;846705.1118 6519782.993
1560;06:43:51;843114.5913 6519910.649;845428.6238 6520760.119
1561;06:43:51;843573.1905 6520820.832;843182.1181 6520224.074
1572;06:43:57;845525.0205 6519495.758;843352.0847 6520635.71
1576;06:43:59;845049.3658 6519539.237;845969.6034 6522576.87
1583;06:44:02;844917.2401 6520327.018;845774.9815 6519924.115
1592;06:44:06;843823.0078 6521009.974;849256.6004 6519703.819
1599;06:44:08;847389.0236 6519250.024;844109.5677 6520423.518
1604;06:44:11;846619.9246 6520094.209;843460.8173 6519941.773
1606;06:44:12;847554.2712 6519825.255;844987.6017 6519778.478
