idstation;nom;adresse1;adresse2;commune;numdansarrondissement;nbbornettes;stationbonus;pole;ouverte;achevement;validite;gid;code_insee;lon;lat
9013;Quai Paul Sédallian;52, Quai Paul Sédallian;;Lyon 9e Arrondissement;13;20;;Pôle d'activités;True;Monté;Validé;216;69389;4,814421127849675;45,787509756748456
4002;Mairie du 4ème;133, Boulevard de la Croix Rousse;;Lyon 4e Arrondissement;2;20;;Mairie - Centre ville;True;Monté;Validé;166;69384;4,827765221864178;45,774200440717294
3097;Augagneur / Fosse aux Ours;Quai Victor Augagneur;Angle Cours Gambetta;Lyon 3e Arrondissement;97;40;;Commerces - Quartier - Itinéraire cyclable;True;Monté;En projet ou en cours de validation;195;69383;4,840443813359667;45,75659977700858
5045;Valdo / Rivet;Rue Jeunet;Angle Rue Pierre Valdo;Lyon 5e Arrondissement;45;18;;Maillage;True;Monté;Validé;255;69385;4,788774121103122;45,75048148344842
2042;Joffre / Vaubecour;43, Rue Vaubecour;;Lyon 2e Arrondissement;42;20;;Centre ville;True;Monté;Validé;180;69382;4,82475558921832;45,75186933643942
10087;Baratin;76, Rue Pierre Baratin;;Villeurbanne;87;12;;Terrain de sport - Quartier;True;Monté;Validé;241;69266;4,9006968059950955;45,76059899709916
10032;Primat / Decorps;Rue Max Barel;Angle rue Emile Decorps;Villeurbanne;32;13;;Pôle Pixel;True;Monté;Validé;228;69266;4,899993150913253;45,75711841532476
7030;Quartier Général Frère;31, Boulevard Yves Farge;;Lyon 7e Arrondissement;30;30;;Parc d'activités - Logements;True;Monté;Validé;234;69387;4,834168875074644;45,74316454195516
8008;Beauvisage / Pressensé;159, Rue Professeur Beauvisage;;Lyon 8e Arrondissement;8;17;;Tram T6 - Itinéraires cyclables;True;Monté;Validé;238;69388;4,863442058905264;45,72787185590096
5030;Charcot / Résidence Universitaire;Face 30, Rue Commandant Charcot;;Lyon 5e Arrondissement;30;32;;Résidence universitaire - Marché;True;Monté;Validé;207;69385;4,807785054151946;45,75503108866266
4012;Place Adrien Godien;Face 30, Cours d'Herbouville;Terre plein central;Lyon 4e Arrondissement;12;30;;Maillage;True;Monté;Validé;227;69384;4,841069562210997;45,77876757733165
1020;Terreaux / Chenavard;11, Rue Paul Chenavard;;Lyon 1er Arrondissement;20;18;;Place des Terreaux;True;Monté;Validé;239;69381;4,83293148796597;45,76676710458034
9029;Saint Pierre de Vaise;Place Alfred Vanderpol;Angle Rue Saint-Pierre de Vaise;Lyon 9e Arrondissement;29;15;;Coeur de quartier;True;Monté;Validé;204;69389;4,807851589329143;45,77312446471764
3071;BioParc;Face 60, Avenue Rockefeller;;Lyon 3e Arrondissement;71;20;;Pôle d'habitation - Bio Parc - Faculté de Médecine;True;Monté;Validé;245;69383;4,888082507593352;45,740486003484605
6041;Cité Internationale / Tête d'Or Nord;Allée Achille Lignon;Angle Boulevard de la Bataille de Stalingrad;Lyon 6e Arrondissement;41;22;;Parc de la Tête d'Or - Salle 3000;True;Monté;Validé;179;69386;4,859758362412491;45,78457290578509
2002;Bellecour / St Exupéry;Face 34, Place Bellecour;;Lyon 2e Arrondissement;2;40;;Métro A, D - Commerces - Centre ville;True;Monté;Validé;232;69382;4,830434694909472;45,75815691094956
6035;Cité Internationale;50, Quai Charles de Gaulle;Face parvis palais des congrés;Lyon 6e Arrondissement;35;21;;Cité Internationale - Parc de la Tête d'Or;True;Monté;Validé;218;69386;4,854124072710764;45,78542142497967
7006;Gerland;Face 317, Avenue Jean Jaurès;Square du Professeur Galtier;Lyon 7e Arrondissement;6;40;;Métro B - Stade de Gerland - Restaurants;True;Monté;Validé;221;69387;4,831197482195625;45,727573284843196
8004;Mairie du 8ème;12, Avenue Jean Mermoz;;Lyon 8e Arrondissement;4;21;;Mairie du 8ème;True;Monté;Validé;235;69388;4,872817387536045;45,735150995807906
3034;Garibaldi / Pensionnat;52, Rue du Pensionnat;;Lyon 3e Arrondissement;104;30;;Piscine - Gymnase;True;Monté;Validé;240;69383;4,853451983771515;45,754714560526025
7025;Lacour / Artillerie;112, Rue Challemel Larcour;;Lyon 7e Arrondissement;67;20;;Entreprises;True;Monté;Validé;261;69387;4,844177872010189;45,72945512661453
5008;Sainte-Irénée;56, Rue des Chevaucheurs;Place Sainte Irénée;Lyon 5e Arrondissement;8;20;;Résidence universitaire;True;Monté;Validé;274;69385;4,812421224845746;45,75494588109138
2041;Sala / Charité;41, Rue Sala;;Lyon 2e Arrondissement;41;21;;Centre ville;True;Monté;Validé;233;69382;4,833039251668663;45,75446619561804
9046;Mangini;12, Rue Félix Mangini;Face au n°9;Lyon 9e Arrondissement;;24;;Logements - Activités;True;Monté;Validé;277;69389;4,816349391794238;45,79040880714802
3103;Place Danton;4, Place Danton;Angle Rue Danton;Lyon 3e Arrondissement;103;18;;Commerces - Bureaux;True;Monté;Validé;246;69383;4,857574372601033;45,75481244853283
